시도,설립별,기관명,장애영역,교장명,교장실,행정실,교무실,팩스,우편번호,주소,홈페이지
서울,국립,서울맹학교,시각장애,김은주,02-731-6600,02-731-6773,02-731-6772,02-731-0845,3032,"서울특별시 종로구 필운대로 97 (신교동, 국립서울맹학교)",bl.sen.sc.kr
서울,국립,서울농학교,청각장애,김은숙,02-724-7901,02-737-0659,02-724-0378,02-723-5848,3032,서울특별시 종로구 필운대로 103 서울농학교,seoulnong.sen.sc.kr
서울,국립,한국우진학교,지체장애,정동일,02-6388-5801,02-6388-5800,02-6388-5939,02-6388-5999,3934,"서울특별시 마포구 월드컵북로38길 21 (중동, 한국우진학교)",woojin.sen.sc.kr
서울,공립,서울경운학교,지적장애,최철호,02-3668-5277,02-3668-5110,02-3668-5100,02-3668-5109,3132,"서울특별시 종로구 삼일대로 454 (경운동, 서울경운학교)",gyeongun.sen.sc.kr
서울,공립,서울광진학교,지적장애,이윤동,02-6715-9000,02-6715-9002,02-6715-9001,02-6715-9008,5048,서울특별시 광진구 강변역로 18 (구의동)서울광진학교,kwangjin.sen.sc.kr
서울,공립,서울다원학교,지적장애,허충구,070-8655-8102,070-8655-8100,070-8655-8120,02-742-6279,2879,"서울특별시 성북구 성북로31길 5-15 (성북동, 서울다원학교)",dawon.sen.sc.kr
서울,공립,서울도솔학교,지적장애,황문주,02-955-0523,02-956-9606,02-955-0523,02-955-0525,1301,"서울특별시 도봉구 평화로15번길 9-25 (도봉동, 서울도솔학교)",www.dosol.sen.sc.kr
서울,공립,서울서진학교,지적장애,홍용희,02-6981-9080,02-6981-9005,02-6981-9000,02-6981-9099,7527,"서울특별시 강서구 양천로55길 22 (가양동, 서울서진학교)",seojin.sen.sc.kr
서울,공립,서울정문학교,지적장애,함미애,02-3281-6611,02-869-7189,02-869-7188,02-855-7190,8859,"서울특별시 관악구 난향3길 31 (신림동,서울정문학교)",jeongmun.sen.sc.kr
서울,공립,서울정인학교,지적장애,염유민,02-983-4001,02-983-4004,02-983-4321,02-983-4006,1095,"서울특별시 강북구 인수봉로 119-20 (수유동, 정인학교)",jeongin.sen.sc.kr
